ID,UUID,SECURITY_CODE,SECURITY_NAME,ACCOUNTING_YEAR,DATA_YEAR,IS_DELETE,CONTEXTREF,CREATETIME,REPORT_TYPE,STAMP,PAGE_INDEX,SOURCE_URL,CFME00000M,CFME00010M,CFME00020M,CFME00030M,CFME00040M,CFME00050M,CFME00060M,CFME00070M,CFME00080M,CFME00090M,CFME00100M,CFME00110M,CFME00120M,CFME00130M,CFME00140M,CFME00150M,CFME00160M,CFME00170M,CFME00180M,CFME00190M,CFME00200M,CFME00210M,CFME00220M,CFME00230M,CFME00240M,CFME00250M,CFME00260M,CFME00270M,CFME00280M,CFME00290M,CFME00300M,CFME00310M,CFME00320M,CFME00330M,CFME00340M,CFME00350M,CFME00360M,CFME00370M,CFME00380M,CFME00390M,CFME00400M,CFME00410M,CFME00420M,CFME00430M,CFME00440M,CFME00450M,CFME00460M,CFME00470M,CFME00480M,CFME00490M,CFME00500M,CFME00510M,CFME00520M,CFME00530M,CFME00540M,CFME00550M,CFME00560M,CFME00570M,CFME00580M,CFME00590M,CFME00600M,CFME00610M,CFME00620M,CFME00630M,CFME00640M,CFME00650M,CFME00660M,CFME00670M,CFME00680M,CFME00690M,CFME00700M,CFME00710M,CFME00720M,CFME00730M,CFME00740M,CFME00750M,CFME00760M,CFME00770M,CFME00780M,CFME00790M,CFME00800M,CFME00810M,CFME00820M,CFME00830M,CFME00840M,CFME00850M,CFME00860M,CFME00870M,CFME00880M,CFME00890M,CFME00900M,CFME00910M,CFME00920M,CFME00930M,CFME00940M,CFME00950M,CFME00960M,CFME00970M,CFME00980M,CFME00990M,CFME01000M,CFME01010M,CFME01020M,CFME01030M,CFME01040M,CFME01050M,CFME01060M,CFME01070M,CFME01080M,CFME01090M,CFME01100M,CFME01110M,CFME01120M,CFME01130M,CFME01140M,CFME01150M,CFME01160M,CFME01170M,CFME01180M,CFME01190M,CFME01200M,CFME01210M,CFME01220M,CFME01230M,CFME01240M,CFME01250M,CFME01260M,CFME01270M,CFME01280M,CFME01290M,CFME01300M,CFME01310M,CFME01320M,CFME01330M,CFME01340M,CFME01350M,CFME01360M,CFME01370M,CFME01380M,CFME01390M,CFME01400M,CFME01410M,CFME01420M,CFME01430M,CFME01440M,CFME01450M,CFME01460M,CFME01470M,CFME01480M,CFME01490M,CFME01500M,CFME01510M,CFME01520M,CFME01530M,CFME01540M,CFME01550M,CFME01560M,CFME01570M,CFME01580M,CFME01590M,CFME01600M,CFME01610M,CFME01620M,CFME01630M,CFME01640M,CFME01650M,CFME01660M,CFME01670M,CFME01680M,CFME01690M,CFME01700M,CFME01710M,CFME01720M,CFME01730M,CFME01740M,CFME01750M,CFME01760M,CFME01770M,CFME01780M,CFME01790M,CFME01800M,CFME01810M,CFME01820M,CFME01830M,CFME01840M,CFME01850M,CFME01860M,CFME01870M,CFME01880M,CFME01890M,CFME01900M,CFME01910M,CFME01920M,CFME01930M,CFME01940M,CFME01950M,CFME01960M,CFME01970M,CFME01980M,CFME01990M,CFME02000M,CFME02010M,CFME02020M,CFME02030M,CFME02040M,CFME02050M,CFME02060M,CFME02070M,CFME02080M,CFME02090M,CFME02100M,CFME02110M,CFME02120M,CFME02130M,CFME02140M
283,ff305427e5e95418b9255fc337a1e8dc,430002,中科软,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/3/27,年度报告,2019/2/27,53,http://www.neeq.com.cn/disclosure/2018/2018-03-27/1522144244_465680.pdf,,1,4318679378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19690372.01,,,,,41810624.37,,4380180375,2107637037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688282431,,,,204961638.7,,,,,128055157.2,,4128936265,251244110,1,,,,,,,689000,,,,,,,,689000,,,,,,61268041.51,,,13625000,,,,,,,,,,,,,,74893041.51,-74204041.51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114438433.2,,,,,,,,,,,,,,114438433.2,-114438433.2,-877821.49,61723813.75,1506662233,,,1568386047,,
284,ff305427e5e95418b9255fc337a1e8dc,430002,中科软,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/3/27,年度报告,2019/2/27,53,http://www.neeq.com.cn/disclosure/2018/2018-03-27/1522144244_465680.pdf,,1,4080574447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16961909.86,,,,,88625720.95,,4186162078,2196215105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328225380,,,,168940477.5,,,,,82292359.62,,3775673323,410488755.3,1,,,,,,,27456.31,,,,,,,,27456.31,,,,,,23696142.66,,,1600000,,,,,,,,,,,,,,25296142.66,-25268686.35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76297216.8,,,,,,,,,,,,,,76297216.8,-76297216.8,1051262.67,309974114.8,1196688118,,,1506662233,,
66543,ff305427e5e95418b9255fc337a1e8dc,430002,中科软,2017/12/31,2017/12/31,0,母公司年初至报告期末,2018/3/27,年度报告,2019/2/27,55,http://www.neeq.com.cn/disclosure/2018/2018-03-27/1522144244_465680.pdf,,1,3666490569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18492986.96,,,,,43756949.9,,3728740506,1792001154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373173472,,,,176473395.9,,,,,81104739.07,,3422752762,305987744.6,1,,,,,,,585000,,,,,,,,585000,,,,,,19314686.52,,,38000000,,,,,,,,,,,,,,57314686.52,-56729686.52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114438433.2,,,,,,,,,,,,,,114438433.2,-114438433.2,,134819624.9,1221656173,,,1356475798,,
66544,ff305427e5e95418b9255fc337a1e8dc,430002,中科软,2017/12/31,2016/12/31,0,母公司上年年初至报告期末,2018/3/27,年度报告,2019/2/27,55,http://www.neeq.com.cn/disclosure/2018/2018-03-27/1522144244_465680.pdf,,1,3451078643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16899989.35,,,,,76071511.47,,3544050144,1953158834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080178786,,,,151679436,,,,,74312130.37,,3259329186,284720958,1,,,,,,,27456.31,,,,,,,,27456.31,,,,,,23249175.37,,,7000000,,,,,,,,,,,,,,30249175.37,-30221719.06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76297216.8,,,,,,,,,,,,,,76297216.8,-76297216.8,,178202022.2,1043454151,,,1221656173,,
138801,2791ec6ba0825c67a30496ac6ca2649e,430003,北京时代,2017/12/31,2017/12/31,0,母公司年初至报告期末,2018/4/27,年度报告,2019/2/28,50,http://www.neeq.com.cn/disclosure/2018/2018-04-27/1524772992_686229.pdf,,1,164093426.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1823703.91,,,,,33662838.46,,199579969.3,157913848.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14069117.68,,,,15124856.87,,,,,21693755.42,,208801578.7,-9221609.41,1,,,,,,,1619877.44,141072679.4,,,,,,,142692556.8,,,,,,10152930,,,,,,,,,,,,,,,,,10152930,132539626.8,1,,,,,,100000000,,,,,,,,,,,,,100000000,,,210000000,,,,,,,9407059.24,,,,,,,,,,,,,,219407059.2,-119407059.2,-1329.02,3909629.17,6592097.18,,,10501726.35,,
138802,2791ec6ba0825c67a30496ac6ca2649e,430003,北京时代,2017/12/31,2016/12/31,0,母公司上年年初至报告期末,2018/4/27,年度报告,2019/2/28,50,http://www.neeq.com.cn/disclosure/2018/2018-04-27/1524772992_686229.pdf,,1,187769831.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2143226.1,,,,,13587969.42,,203501026.8,159441672.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18794836.01,,,,6530429.97,,,,,40121021.3,,224887960,-21386933.19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,250000000,,,,,,,,,,26071000,,,276071000,,,260689716.7,,,,,,,14281675.17,,,,,,,,,,,,,,274971391.8,1099608.16,190.95,-20287134.08,26879231.26,,,6592097.18,,
57499,2791ec6ba0825c67a30496ac6ca2649e,430003,北京时代,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/4/27,年度报告,2019/2/27,49,http://www.neeq.com.cn/disclosure/2018/2018-04-27/1524772992_686229.pdf,,1,278126272.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1823703.91,,,,,58017429.64,,337967405.6,175704046.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31187469.81,,,,18804039.07,,,,,76774037.12,,302469592.8,35497812.81,1,,,,,,,1619877.44,138370920.6,,,,,,,139990798.1,,,,,,28150491.53,,,,,,,,,,,,,,,,,28150491.53,111840306.5,1,,,,,,130000000,,,,,,,,,,,,,130000000,,,265963846.6,,,,,,,10343436.95,,,,,,,,,,,,,,276307283.6,-146307283.6,-1329.02,1029506.76,10209777.82,,,11239284.58,,
57500,2791ec6ba0825c67a30496ac6ca2649e,430003,北京时代,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/4/27,年度报告,2019/2/27,49,http://www.neeq.com.cn/disclosure/2018/2018-04-27/1524772992_686229.pdf,,1,331903178.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2545311.93,,,,,60734756.73,,395183246.8,264640884.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36517426.05,,,,21257892.82,,,,,113310063.4,,435726266.6,-40543019.82,1,,,,,,,,,,,,,,,,,,,,,11096514.8,,,,,,,,,,,,,,,,,11096514.8,-11096514.8,1,,,,,,296300000,,,,,,,,,,72653697.88,,,368953697.9,,,339680066.7,,,,,,,16949336.2,,,,,,,,,,,,,,356629402.9,12324295.01,190.95,-39315048.66,49524826.48,,,10209777.82,,
14917,c842b850eef858f499f2be029971f7a8,430004,绿创设备,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/4/25,年度报告,2019/2/27,48,http://www.neeq.com.cn/disclosure/2018/2018-04-25/1524646777_224268.pdf,,1,19466298.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55503333.42,,74969631.67,11668056.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6516148.61,,,,1083627.95,,,,,54357964.81,,73625798.22,1343833.45,1,,,,,,,,,,,,,,,,,,,,,378500,,,,,,,,,,,,,,,,,378500,-378500,1,,,,,,40000000,,,,,,,,,,,,,40000000,,,40000000,,,,,,,1610001.86,,,,,,,,,,,,,,41610001.86,-1610001.86,,-644668.41,3185860.33,,,2541191.92,,
14918,c842b850eef858f499f2be029971f7a8,430004,绿创设备,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/4/25,年度报告,2019/2/27,48,http://www.neeq.com.cn/disclosure/2018/2018-04-25/1524646777_224268.pdf,,1,43309618.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465238.08,,44774856.21,32969367.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7521805.75,,,,917556.72,,,,,6133162.79,,47541892.4,-2767036.19,1,,,,,615,,,,,,,,,,615,,,,,,295908,,,,,,,,,,,,,,,,,295908,-295293,1,,,,,,30000000,,,,,,,,,,,,,30000000,,,30000000,,,,,,,1601950.01,,,,,,,,,,,,,,31601950.01,-1601950.01,,-4664279.2,7850139.53,,,3185860.33,,
