ID,UUID,SECURITY_CODE,SECURITY_NAME,ACCOUNTING_YEAR,DATA_YEAR,IS_DELETE,CONTEXTREF,CREATETIME,REPORT_TYPE,STAMP,PAGE_INDEX,SOURCE_URL,PRME00000M,PRME00010M,PRME00020M,PRME00030M,PRME00040M,PRME00050M,PRME00060M,PRME00070M,PRME00080M,PRME00090M,PRME00100M,PRME00110M,PRME00120M,PRME00130M,PRME00140M,PRME00150M,PRME00160M,PRME00170M,PRME00180M,PRME00190M,PRME00200M,PRME00210M,PRME00220M,PRME00230M,PRME00240M,PRME00250M,PRME00260M,PRME00270M,PRME00280M,PRME00290M,PRME00300M,PRME00310M,PRME00320M,PRME00330M,PRME00340M,PRME00350M,PRME00360M,PRME00370M,PRME00380M,PRME00390M,PRME00400M,PRME00410M,PRME00420M,PRME00430M,PRME00440M,PRME00450M,PRME00460M,PRME00470M,PRME00480M,PRME00490M,PRME00500M,PRME00510M,PRME00520M,PRME00530M,PRME00540M,PRME00550M,PRME00560M,PRME00570M,PRME00580M,PRME00590M,PRME00600M,PRME00610M,PRME00620M,PRME00630M,PRME00640M,PRME00650M,PRME00660M,PRME00670M,PRME00680M,PRME00690M,PRME00700M,PRME00710M,PRME00720M,PRME00730M,PRME00740M,PRME00750M,PRME00760M,PRME00770M,PRME00780M,PRME00790M,PRME00800M,PRME00810M,PRME00820M,PRME00830M,PRME00840M,PRME00850M,PRME00860M,PRME00870M,PRME00880M,PRME00890M,PRME00900M,PRME00910M,PRME00920M,PRME00930M,PRME00940M,PRME00950M,PRME00960M,PRME00970M,PRME00980M,PRME00990M,PRME01000M,PRME01010M,PRME01020M,PRME01030M,PRME01040M,PRME01050M,PRME01060M,PRME01070M,PRME01080M,PRME01090M,PRME01100M,PRME01110M,PRME01120M,PRME01130M,PRME01140M,PRME01150M,PRME01160M,PRME01170M,PRME01180M,PRME01190M,PRME01200M,PRME01210M,PRME01220M,PRME01230M,PRME01240M,PRME01250M,PRME01260M,PRME01270M,PRME01280M,PRME01290M,PRME01300M,PRME01310M,PRME01320M,PRME01330M,PRME01340M,PRME01350M,PRME01360M,PRME01370M,PRME01380M,PRME01390M,PRME01400M
283,ff305427e5e95418b9255fc337a1e8dc,430002,中科软,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/3/27,年度报告,2019/2/27,50,http://www.neeq.com.cn/disclosure/2018/2018-03-27/1522144244_465680.pdf,,4304655454,4304655454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4075414710,3308939370,,,,,,,,,,,,,,,,,,,,,,24214762.99,,,279733403.6,414526841.4,,,-10021552.55,,58021883.83,,,,,,-1288.97,,-1414619.75,,,21516572.01,249341407.9,4267316.5,,,,,,118377.11,,,,253490347.3,19996264.21,,233494083.1,,1,233494083.1,,1,,233494083.1,,-877821.49,-877821.49,,,,,-877821.49,,,,,-877821.49,,,,,232616261.6,232616261.6,,,1,0.61,,
284,ff305427e5e95418b9255fc337a1e8dc,430002,中科软,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/3/27,年度报告,2019/2/27,50,http://www.neeq.com.cn/disclosure/2018/2018-03-27/1522144244_465680.pdf,,3901442412,3901442412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3719349300,3062177596,,,,,,,,,,,,,,,,,,,,,,22037341.29,,,281101355.1,333889055.4,,,-10479294.46,,30623247.23,,,,,,,,-24683.87,,,,182068428,22972161.44,,,,,,409458.64,,,,204631130.8,12914208.26,,191716922.5,,1,191716922.5,,1,,191716922.5,,1051262.67,1051262.67,,,,,1051262.67,,,,,1051262.67,,,,,192768185.2,192768185.2,,,1,0.5,,
66543,ff305427e5e95418b9255fc337a1e8dc,430002,中科软,2017/12/31,2017/12/31,0,母公司年初至报告期末,2018/3/27,年度报告,2019/2/27,52,http://www.neeq.com.cn/disclosure/2018/2018-03-27/1522144244_465680.pdf,,3655698712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2751676556,,,,,,,,,,,,,,,,,,,,,,,20859746.17,,,266600744.3,360380254.7,,,-8973635.93,,56043994.39,,,,,,,,-1501798.31,,,19719186.96,227328441.2,1961443.86,,,,,,65991.75,,,,229223893.3,17344437.65,,211879455.7,,,211879455.7,,,,,,,,,,,,,,,,,,,,,,211879455.7,,,,1,,,
66544,ff305427e5e95418b9255fc337a1e8dc,430002,中科软,2017/12/31,2016/12/31,0,母公司上年年初至报告期末,2018/3/27,年度报告,2019/2/27,52,http://www.neeq.com.cn/disclosure/2018/2018-03-27/1522144244_465680.pdf,,3476948601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2684637575,,,,,,,,,,,,,,,,,,,,,,,19045067.7,,,270924447.5,309306319.4,,,-9627998.44,,28191973.29,,,,,,,,-24419.07,,,,174446797,20216069.47,,,,,,409400,,,,194253466.5,10619700.28,,183633766.2,,,183633766.2,,,,,,,,,,,,,,,,,,,,,,183633766.2,,,,1,,,
138801,2791ec6ba0825c67a30496ac6ca2649e,430003,北京时代,2017/12/31,2017/12/31,0,母公司年初至报告期末,2018/4/27,年度报告,2019/2/28,47,http://www.neeq.com.cn/disclosure/2018/2018-04-27/1524772992_686229.pdf,,154845207.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113507099.1,,,,,,,,,,,,,,,,,,,,,,,914368.16,,,18150970.65,37123954.83,,,7638776.48,,6212999.38,,,,,,78172955.11,,927009.55,,,,50397003.82,2777213.5,,,,,,250000,,,,52924217.32,7786393.42,,45137823.9,,,45137823.9,,,,,,,,,,,,,,,,,,,,,,45137823.9,,,,1,,,
138802,2791ec6ba0825c67a30496ac6ca2649e,430003,北京时代,2017/12/31,2016/12/31,0,母公司上年年初至报告期末,2018/4/27,年度报告,2019/2/28,47,http://www.neeq.com.cn/disclosure/2018/2018-04-27/1524772992_686229.pdf,,202874201.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141942957.7,,,,,,,,,,,,,,,,,,,,,,,1041405.21,,,13514333.54,25159074.34,,,10772044.63,,944579.49,,,,,,2017.52,,-67155.34,,,,9434669.16,2527825.51,,,,,,350639.95,,,,11611854.72,1527279.68,,10084575.04,,,10084575.04,,,,,,,,,,,,,,,,,,,,,,10084575.04,,,,1,,,
57499,2791ec6ba0825c67a30496ac6ca2649e,430003,北京时代,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/4/27,年度报告,2019/2/27,46,http://www.neeq.com.cn/disclosure/2018/2018-04-27/1524772992_686229.pdf,,193863090.7,193863090.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246828612.1,144516010.2,,,,,,,,,,,,,,,,,,,,,,3841024.82,,,22642243.51,57938415.09,,,10572129.15,,7318789.28,,,,,,97049277.47,,795679.12,,,,44879435.23,3755165.89,,,,,,385536.57,,,,48249064.55,8512818.61,,39736245.94,,1,39736245.94,,1,-195271.63,39931517.57,,,,,,,,,,,,,,,,,,39736245.94,39931517.57,,-195271.63,1,0.66,0.66,
57500,2791ec6ba0825c67a30496ac6ca2649e,430003,北京时代,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/4/27,年度报告,2019/2/27,46,http://www.neeq.com.cn/disclosure/2018/2018-04-27/1524772992_686229.pdf,,235073334.3,235073334.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259133512.6,178901500,,,,,,,,,,,,,,,,,,,,,,1816265.97,,,17534635.64,48579351.11,,,13521752.42,,-1219992.57,,,,,,2017.52,,-88462.09,,,,-24146622.85,4322268.84,,,,,,3881262.94,,,,-23705616.95,3141852.54,,-26847469.49,,1,-26847469.49,,1,-91330.57,-26756138.92,,,,,,,,,,,,,,,,,,-26847469.49,-26756138.92,,-91330.57,1,-0.44,-0.44,
14917,c842b850eef858f499f2be029971f7a8,430004,绿创设备,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/4/25,年度报告,2019/2/27,47,http://www.neeq.com.cn/disclosure/2018/2018-04-25/1524646777_224268.pdf,,38656292.6,38656292.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49513598.45,32149789.6,,,,,,,,,,,,,,,,,,,,,,,,,4493706.63,5822302.05,,,1627700.73,,5420099.44,,,,,-287,615,,,,,,-10856977.85,590768.61,,,,,,,,,,-10266209.24,,,-10266209.24,,1,-10266209.24,,1,,-10266209.24,,,,,,,,,,,,,,,,,,-10266209.24,-10266209.24,,,1,-0.1,-0.1,
14918,c842b850eef858f499f2be029971f7a8,430004,绿创设备,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/4/25,年度报告,2019/2/27,47,http://www.neeq.com.cn/disclosure/2018/2018-04-25/1524646777_224268.pdf,,31031002.09,31031002.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40991656.54,28492552.36,,,,,,,,,,,,,,,,,,,,,,70427.9,,,4294158.46,6337137.46,,,1618357.97,,179022.39,,,,,-3321,615,,,,,,-9963360.45,286416.2,,,,,,15089.5,,,,-9692033.75,1192106.1,,-10884139.85,,1,-10884139.85,,1,,-10884139.85,,,,,,,,,,,,,,,,,,-10884139.85,-10884139.85,,,1,-0.11,-0.11,
