CODE,NAME,CLASS_1,TYPE_1,CLASS_2,TYPE_2,CLASS_3,TYPE_3
430002,中 科 软,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430003,北京时代,C,制造业,34,通用设备制造业,342,金属加工机械制造
430004,绿创设备,C,制造业,35,专用设备制造业,359,环保、社会公共服务及其他专用设备制造
430005,原子高科,C,制造业,27,医药制造业,272,化学药品制剂制造
430009,华环电子,C,制造业,39,计算机、通信和其他电子设备制造业,392,通信设备制造
430010,ST现代,C,制造业,35,专用设备制造业,357,农、林、牧、渔专用机械制造
430011,指 南 针,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430014,恒业世纪,C,制造业,35,专用设备制造业,359,环保、社会公共服务及其他专用设备制造
430015,盖 特 佳,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430016,ST胜龙,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430017,星昊医药,C,制造业,27,医药制造业,272,化学药品制剂制造
430019,新松佳和,C,制造业,39,计算机、通信和其他电子设备制造业,391,计算机制造
430020,建工华创,C,制造业,30,非金属矿物制品业,303,砖瓦、石材等建筑材料制造
430021,海鑫科金,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430022,五 岳 鑫,C,制造业,39,计算机、通信和其他电子设备制造业,391,计算机制造
430025,石晶光电,C,制造业,30,非金属矿物制品业,309,石墨及其他非金属矿物制品制造
430027,北科光大,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430028,京鹏科技,E,建筑业,49,建筑安装业,499,其他建筑安装业
430029,金 泰 得,C,制造业,13,农副食品加工业,132,饲料加工
430031,林 克 曼,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430032,凯英信业,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430033,彩讯科技,C,制造业,39,计算机、通信和其他电子设备制造业,391,计算机制造
430034,大地股份,C,制造业,13,农副食品加工业,132,饲料加工
430037,联 飞 翔,C,制造业,25,石油加工、炼焦和核燃料加工业,251,精炼石油产品制造
430038,信维科技,C,制造业,39,计算机、通信和其他电子设备制造业,392,通信设备制造
430041,中机非晶,C,制造业,38,电气机械和器材制造业,382,输配电及控制设备制造
430042,科 瑞 讯,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430044,东宝亿通,C,制造业,38,电气机械和器材制造业,389,其他电气机械及器材制造
430046,圣 博 润,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430047,诺思兰德,M,科学研究和技术服务业,75,科技推广和应用服务业,751,技术推广服务
430048,建设数字,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430051,九 恒 星,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430052,斯福泰克,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,642,互联网信息服务
430053,国学时代,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,654,数据处理和存储服务
430054,超毅网络,B,采矿业,9,有色金属矿采选业,92,贵金属矿采选
430055,达通数据,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430056,中航新材,C,制造业,26,化学原料和化学制品制造业,264,涂料、油墨、颜料及类似产品制造
430057,清畅电力,C,制造业,38,电气机械和器材制造业,382,输配电及控制设备制造
430058,意诚信通,C,制造业,39,计算机、通信和其他电子设备制造业,396,电子器件制造
430060,永邦科技,C,制造业,35,专用设备制造业,359,环保、社会公共服务及其他专用设备制造
430061,富机达能,C,制造业,38,电气机械和器材制造业,382,输配电及控制设备制造
430062,中科国信,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430064,金山顶尖,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430065,中 海 阳,C,制造业,38,电气机械和器材制造业,382,输配电及控制设备制造
430066,南北天地,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430067,维信通,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430068,纬纶环保,N,水利、环境和公共设施管理业,77,生态保护和环境治理业,772,环境治理业
430069,天助畅运,C,制造业,35,专用设备制造业,358,医疗仪器设备及器械制造
430070,太一云,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,654,数据处理和存储服务
430071,首都在线,I,信息传输、软件和信息技术服务业,63,电信、广播电视和卫星传输服务,631,电信
430072,亿创科技,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430073,兆信股份,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,655,集成电路设计
430074,德鑫物联,C,制造业,39,计算机、通信和其他电子设备制造业,399,其他电子设备制造
430075,中讯四方,C,制造业,39,计算机、通信和其他电子设备制造业,397,电子元件制造
430076,国基科技,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,649,其他互联网服务
430077,道隆软件,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430078,君德同创,C,制造业,13,农副食品加工业,132,饲料加工
430079,北京安鹏,C,制造业,39,计算机、通信和其他电子设备制造业,392,通信设备制造
430080,尚水股份,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430081,五八汽车,L,租赁和商务服务业,72,商务服务业,724,广告业
430082,博雅科技,C,制造业,39,计算机、通信和其他电子设备制造业,392,通信设备制造
430083,ST中科,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,654,数据处理和存储服务
430084,星和众工,C,制造业,35,专用设备制造业,351,采矿、冶金、建筑专用设备制造
430085,新锐英诚,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430086,爱迪科森,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430088,七维航测,C,制造业,40,仪器仪表制造业,402,专用仪器仪表制造
430089,天一众合,C,制造业,39,计算机、通信和其他电子设备制造业,392,通信设备制造
430090,同辉信息,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430091,东方生态,C,制造业,35,专用设备制造业,357,农、林、牧、渔专用机械制造
430093,掌上通,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,649,其他互联网服务
430094,确安科技,C,制造业,39,计算机、通信和其他电子设备制造业,396,电子器件制造
430096,航天宏达,C,制造业,38,电气机械和器材制造业,389,其他电气机械及器材制造
430097,赛德丽,C,制造业,35,专用设备制造业,351,采矿、冶金、建筑专用设备制造
430098,大津股份,C,制造业,30,非金属矿物制品业,303,砖瓦、石材等建筑材料制造
430099,理想固网,C,制造业,39,计算机、通信和其他电子设备制造业,391,计算机制造
430100,九尊能源,B,采矿业,11,开采辅助活动,112,石油和天然气开采辅助活动
430102,科若思,M,科学研究和技术服务业,74,专业技术服务业,749,其他专业技术服务业
430103,天大清源,C,制造业,39,计算机、通信和其他电子设备制造业,391,计算机制造
430104,全三维,C,制造业,40,仪器仪表制造业,401,通用仪器仪表制造
430105,合力思腾,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430106,爱特泰克,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430107,土星教育,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,649,其他互联网服务
430108,精耕天下,C,制造业,26,化学原料和化学制品制造业,262,肥料制造
430109,中航讯,C,制造业,39,计算机、通信和其他电子设备制造业,391,计算机制造
430111,北京航峰,C,制造业,34,通用设备制造业,344,泵、阀门、压缩机及类似机械制造
430112,弘祥隆,C,制造业,35,专用设备制造业,358,医疗仪器设备及器械制造
430113,中交远洲,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430114,永瀚星港,Q,卫生和社会工作,83,卫生,839,其他卫生活动
430116,中矿华沃,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430117,航天理想,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430118,中钰医疗,M,科学研究和技术服务业,75,科技推广和应用服务业,751,技术推广服务
430119,鸿仪四方,M,科学研究和技术服务业,74,专业技术服务业,749,其他专业技术服务业
430120,金润科技,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430122,中控智联,C,制造业,39,计算机、通信和其他电子设备制造业,391,计算机制造
430123,速原中天,C,制造业,35,专用设备制造业,358,医疗仪器设备及器械制造
430124,汉唐自远,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430125,ST都市,J,金融业,68,保险业,685,保险经纪与代理服务
430126,马氏兄弟,O,居民服务、修理和其他服务业,81,其他服务业,811,清洁服务
430127,英雄互娱,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,642,互联网信息服务
430130,卡联科技,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,659,其他信息技术服务业
430131,伟利讯,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430133,赛孚制药,C,制造业,27,医药制造业,275,兽用药品制造
430134,ST可来博,C,制造业,38,电气机械和器材制造业,387,照明器具制造
430135,三益能环,M,科学研究和技术服务业,74,专业技术服务业,748,工程技术
430136,国顺投资,C,制造业,35,专用设备制造业,359,环保、社会公共服务及其他专用设备制造
430137,润天股份,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430138,国电武仪,C,制造业,38,电气机械和器材制造业,382,输配电及控制设备制造
430139,华岭股份,C,制造业,39,计算机、通信和其他电子设备制造业,396,电子器件制造
430140,新眼光,C,制造业,35,专用设备制造业,358,医疗仪器设备及器械制造
430141,久日新材,C,制造业,26,化学原料和化学制品制造业,266,专用化学产品制造
430142,锐新昌,C,制造业,33,金属制品业,331,结构性金属制品制造
430143,武大科技,C,制造业,26,化学原料和化学制品制造业,265,合成材料制造
430144,煦联得,C,制造业,38,电气机械和器材制造业,382,输配电及控制设备制造
430145,智立医学,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430146,亚泰都会,M,科学研究和技术服务业,74,专业技术服务业,748,工程技术
430147,中矿龙科,C,制造业,38,电气机械和器材制造业,389,其他电气机械及器材制造
430148,科能腾达,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430149,江仪股份,C,制造业,40,仪器仪表制造业,402,专用仪器仪表制造
430152,思银股份,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430153,中金网信,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,649,其他互联网服务
430155,康辰亚奥,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430156,科曼股份,C,制造业,36,汽车制造业,366,汽车零部件及配件制造
430157,腾龙电子,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430158,北方科诚,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430159,创世生态,E,建筑业,48,土木工程建筑业,489,其他土木工程建筑
430160,三泰晟驰,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430161,光谷信息,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430163,三众能源,M,科学研究和技术服务业,75,科技推广和应用服务业,751,技术推广服务
430164,大医股份,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,642,互联网信息服务
430165,光宝联合,I,信息传输、软件和信息技术服务业,63,电信、广播电视和卫星传输服务,631,电信
430166,一正启源,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430167,四利通,C,制造业,35,专用设备制造业,351,采矿、冶金、建筑专用设备制造
430168,博维仕,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
430169,融智通,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
430170,金易通,C,制造业,35,专用设备制造业,351,采矿、冶金、建筑专用设备制造
430171,电信易通,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,642,互联网信息服务
430172,瑞达恩,C,制造业,39,计算机、通信和其他电子设备制造业,394,雷达及配套设备制造
430173,欧美城,F,批发和零售业,52,零售业,526,汽车、摩托车、燃料及零配件专门零售
430174,沃捷传媒,L,租赁和商务服务业,72,商务服务业,724,广告业
